Dataset,# Samples,# Features,Anomaly Ratio,ABOD Precision,ABOD AUC,ABOD Time,LOF Precision,LOF AUC,LOF Time,iForest Precision,iForest AUC,iForest Time,AutoEncoder Precision,AutoEncoder AUC,AutoEncoder Time,LUNAR Precision,LUNAR AUC,LUNAR Time
fault,1941,27,34.672849046883044,0.5035,0.6986,1.5692,0.423,0.5957,0.02,0.4264,0.5629,0.1145,0.5749,0.5391,5.2817,0.7883,0.8092,4.2711
glass,214,7,4.205607476635514,0.1818,0.845,0.047,0.125,0.8157,0.004,0.1111,0.7626,0.0945,0.5,0.7901,2.7349,0.5,0.9012,1.6424
Hepatitis,80,19,16.25,0.1429,0.4788,0.0204,0.3333,0.589,0.012,0.1538,0.7049,0.1091,0.875,0.8047,2.7512,0.6364,0.7515,1.2779
InternetAds,1966,1555,18.71820956256358,0.2879,0.6299,5.437,0.4073,0.6451,0.1426,0.462,0.6895,0.1689,0.7879,0.7993,7.1861,0.8924,0.8628,4.9923
Ionosphere,351,32,35.8974358974359,0.8092,0.927,0.0753,0.7886,0.8603,0.0199,0.6667,0.8383,0.1125,0.6455,0.8825,2.7592,0.7396,0.9828,1.8464
landsat,6435,36,20.714840714840715,0.2198,0.5025,1.6365,0.2778,0.5466,0.116,0.2198,0.491,0.1618,0.5355,0.4587,3.1605,0.8536,0.7902,12.2003
mnist,7603,100,9.20689201630935,0.2383,0.7005,6.915,0.2454,0.6449,0.2347,0.2857,0.7885,0.2018,0.8715,0.9087,4.6273,0.9422,0.9333,19.9083
musk,3062,166,3.1678641410842587,0.0094,0.0528,1.5429,0.0469,0.4124,0.0605,1.0,1.0,0.1309,0.951,1.0,3.2882,0.9798,1.0,9.3589
Cardiotocography,2114,21,22.043519394512774,0.2869,0.5553,0.4172,0.3364,0.5965,0.0223,0.4292,0.7172,0.1181,0.747,0.8178,3.0573,0.8517,0.8081,4.6133
